Title,Alternative Title,Description,Language,Display Note,Creator,Title Source,Resource Class,Resource Type,Keyword,Date Issued,Temporal Coverage,Date Range,Spatial Coverage,Bounding Box,Format,Information,Download,MapServer,FeatureServer,ImageServer,ID,Identifier,Provider,Code,Member Of,Is Part Of,Rights,Accrual Method,Date Accessioned,Access Rights
Public 311 [Minnesota--Minneapolis] {2024},Public 311 2024,,eng,"This dataset was automatically cataloged from the provider's ArcGIS Hub. In some cases, information shown here may be incorrect or out-of-date. Click the 'Visit Source' button to search for items on the original provider's website.",MapIT Minneapolis,Minnesota--Minneapolis,Datasets|Web services,Vector data,311|Minneapolis|OpenData,2024-03-14,2024,2024-2024,Minnesota--Minneapolis|Minnesota,"-93.33,0.0,0.0,45.05",Shapefile,https://opendata.minneapolismn.gov/maps/cityoflakes::public-311-2024,https://opendata.minneapolismn.gov/api/download/v1/items/3c00b4c223014dccb79b0f42a4235ad7/shapefile,,https://services.arcgis.com/afSMGVsC7QlRK1kZ/arcgis/rest/services/Public_311_2024/FeatureServer/0,,3c00b4c223014dccb79b0f42a4235ad7_0,https://hub.arcgis.com/datasets/3c00b4c223014dccb79b0f42a4235ad7,Open Data Minneapolis,05c-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,05c-01,http://creativecommons.org/publicdomain/zero/1.0,ArcGIS Hub,2024-05-18,Public
Police Stop Data [Minnesota--Minneapolis],Police Stop Data,,eng,"This dataset was automatically cataloged from the provider's ArcGIS Hub. In some cases, information shown here may be incorrect or out-of-date. Click the 'Visit Source' button to search for items on the original provider's website.",MapIT Minneapolis,Minnesota--Minneapolis,Datasets|Web services,Vector data,Minneapolis|OpenData|Police|PublicSafety,2017-08-01,Continually updated resource,,Minnesota--Minneapolis|Minnesota,"-93.33,0.0,0.0,45.05",Shapefile,https://opendata.minneapolismn.gov/maps/cityoflakes::police-stop-data,https://opendata.minneapolismn.gov/api/download/v1/items/215b4b543d894750aef86c725b56ee2a/shapefile,,https://services.arcgis.com/afSMGVsC7QlRK1kZ/arcgis/rest/services/Police_Stop_Data/FeatureServer/0,,215b4b543d894750aef86c725b56ee2a_0,https://hub.arcgis.com/datasets/215b4b543d894750aef86c725b56ee2a,Open Data Minneapolis,05c-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,05c-01,http://creativecommons.org/publicdomain/zero/1.0,ArcGIS Hub,2024-05-18,Public
Police Incidents [Minnesota--Minneapolis] {2024},Police Incidents 2024,,eng,"This dataset was automatically cataloged from the provider's ArcGIS Hub. In some cases, information shown here may be incorrect or out-of-date. Click the 'Visit Source' button to search for items on the original provider's website.",MapIT Minneapolis,Minnesota--Minneapolis,Datasets|Web services,Vector data,Minneapolis|Police|MPD|OpenData|PublicSafety,2024-03-14,2024,2024-2024,Minnesota--Minneapolis|Minnesota,"-93.33,44.89,-93.2,45.05",Shapefile,https://opendata.minneapolismn.gov/maps/cityoflakes::police-incidents-2024,https://opendata.minneapolismn.gov/api/download/v1/items/2ede87f23eb84260b981ed176aed63c8/shapefile,,https://services.arcgis.com/afSMGVsC7QlRK1kZ/arcgis/rest/services/Police_Incidents_2024/FeatureServer/0,,2ede87f23eb84260b981ed176aed63c8_0,https://hub.arcgis.com/datasets/2ede87f23eb84260b981ed176aed63c8,Open Data Minneapolis,05c-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,05c-01,http://creativecommons.org/publicdomain/zero/1.0,ArcGIS Hub,2024-05-18,Public
Crime Data [Minnesota--Minneapolis],Crime Data,"Field Descriptions Crime Dashboard Document - https://www.minneapolismn.gov/government/government-data/datasource/crime-dashboard/crime-dashboard-document/ The data set is refreshed on a daily basis by 9:30 AM. The website will reflect the last time the data set was updated and the total count of rows. The grid on the ""Data"" tab will display the up to date data. However, in certain situations there is a delay in the refresh of the downloadable data file. Sometimes the downloadable file does not reflect the updates to the data in the portal. After a delay (duration has been variable; up to 30 minutes), the file will be updated on the server and then downloads will include the updated data.",eng,"This dataset was automatically cataloged from the provider's ArcGIS Hub. In some cases, information shown here may be incorrect or out-of-date. Click the 'Visit Source' button to search for items on the original provider's website.",MapIT Minneapolis,Minnesota--Minneapolis,Datasets|Web services,Vector data,Minneapolis|Crime|MPD|opendata,2023-11-06,Continually updated resource,,Minnesota--Minneapolis|Minnesota,"-93.33,0.0,0.0,45.05",Shapefile,https://opendata.minneapolismn.gov/maps/cityoflakes::crime-data,https://opendata.minneapolismn.gov/api/download/v1/items/441d4c0410854e3da692b24347ab6b0d/shapefile,,https://services.arcgis.com/afSMGVsC7QlRK1kZ/arcgis/rest/services/Crime_Data/FeatureServer/0,,441d4c0410854e3da692b24347ab6b0d_0,https://hub.arcgis.com/datasets/441d4c0410854e3da692b24347ab6b0d,Open Data Minneapolis,05c-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,05c-01,,ArcGIS Hub,2024-05-18,Public
Fires Reported [Minnesota--Minneapolis] {2024},Fires Reported 2024,,eng,"This dataset was automatically cataloged from the provider's ArcGIS Hub. In some cases, information shown here may be incorrect or out-of-date. Click the 'Visit Source' button to search for items on the original provider's website.",MapIT Minneapolis,Minnesota--Minneapolis,Datasets|Web services,Vector data,PublicSafety|Minneapolis|OpenData,2024-03-14,2024,2024-2024,Minnesota--Minneapolis|Minnesota,"-93.41,44.75,-93.19,45.57",Shapefile,https://opendata.minneapolismn.gov/maps/cityoflakes::fires-reported-2024,https://opendata.minneapolismn.gov/api/download/v1/items/9ed132bf5ae6432cad9db0f640a7e2cb/shapefile,,https://services.arcgis.com/afSMGVsC7QlRK1kZ/arcgis/rest/services/Fires_Reported_2024/FeatureServer/0,,9ed132bf5ae6432cad9db0f640a7e2cb_0,https://hub.arcgis.com/datasets/9ed132bf5ae6432cad9db0f640a7e2cb,Open Data Minneapolis,05c-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,05c-01,http://creativecommons.org/publicdomain/zero/1.0,ArcGIS Hub,2024-05-18,Public
Fires Confirmed [Minnesota--Minneapolis] {2024},Fires Confirmed 2024,,eng,"This dataset was automatically cataloged from the provider's ArcGIS Hub. In some cases, information shown here may be incorrect or out-of-date. Click the 'Visit Source' button to search for items on the original provider's website.",MapIT Minneapolis,Minnesota--Minneapolis,Datasets|Web services,Vector data,PublicSafety|Minneapolis|OpenData,2024-03-14,2024,2024-2024,Minnesota--Minneapolis|Minnesota,"-93.33,44.89,-93.2,45.05",Shapefile,https://opendata.minneapolismn.gov/maps/cityoflakes::fires-confirmed-2024,https://opendata.minneapolismn.gov/api/download/v1/items/3462d19207af45d38d6f416c44e42445/shapefile,,https://services.arcgis.com/afSMGVsC7QlRK1kZ/arcgis/rest/services/Fires_Confirmed_2024/FeatureServer/0,,3462d19207af45d38d6f416c44e42445_0,https://hub.arcgis.com/datasets/3462d19207af45d38d6f416c44e42445,Open Data Minneapolis,05c-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,05c-01,http://creativecommons.org/publicdomain/zero/1.0,ArcGIS Hub,2024-05-18,Public
Police Incidents [Minnesota--Minneapolis] {2020},Police Incidents 2020,,eng,"This dataset was automatically cataloged from the provider's ArcGIS Hub. In some cases, information shown here may be incorrect or out-of-date. Click the 'Visit Source' button to search for items on the original provider's website.",MapIT Minneapolis,Minnesota--Minneapolis,Datasets|Web services,Vector data,Minneapolis|Police|MPD|OpenData|publicsafety,2020-06-11,2020,2020-2020,Minnesota--Minneapolis|Minnesota,"-93.33,44.89,-93.2,45.05",Shapefile,https://opendata.minneapolismn.gov/maps/cityoflakes::police-incidents-2020,https://opendata.minneapolismn.gov/api/download/v1/items/35c7de976a60450bb894fc7aeb68aef6/shapefile,,https://services.arcgis.com/afSMGVsC7QlRK1kZ/arcgis/rest/services/Police_Incidents_2020/FeatureServer/0,,35c7de976a60450bb894fc7aeb68aef6_0,https://hub.arcgis.com/datasets/35c7de976a60450bb894fc7aeb68aef6,Open Data Minneapolis,05c-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,05c-01,http://creativecommons.org/publicdomain/zero/1.0,ArcGIS Hub,2024-05-18,Public
Fires Reported  YTD [Minnesota--Minneapolis] {2019},Fires Reported 2019 YTD,,eng,"This dataset was automatically cataloged from the provider's ArcGIS Hub. In some cases, information shown here may be incorrect or out-of-date. Click the 'Visit Source' button to search for items on the original provider's website.",MapIT Minneapolis,Minnesota--Minneapolis,Datasets|Web services,Vector data,PublicSafety|Minneapolis|OpenData,2019-04-24,2019,2019-2019,Minnesota--Minneapolis|Minnesota,"-93.41,44.87,-93.18,45.17",Shapefile,https://opendata.minneapolismn.gov/maps/cityoflakes::fires-reported-2019-ytd,https://opendata.minneapolismn.gov/api/download/v1/items/c79afc8bae7d44938c98959e7fe95f7d/shapefile,,https://services.arcgis.com/afSMGVsC7QlRK1kZ/arcgis/rest/services/Fires_Reported_2019_YTD/FeatureServer/0,,c79afc8bae7d44938c98959e7fe95f7d_0,https://hub.arcgis.com/datasets/c79afc8bae7d44938c98959e7fe95f7d,Open Data Minneapolis,05c-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,05c-01,http://creativecommons.org/publicdomain/zero/1.0,ArcGIS Hub,2024-05-18,Public
Fire Stations Areas [Minnesota--Minneapolis],Fire Stations Areas,,eng,"This dataset was automatically cataloged from the provider's ArcGIS Hub. In some cases, information shown here may be incorrect or out-of-date. Click the 'Visit Source' button to search for items on the original provider's website.",MapIT Minneapolis,Minnesota--Minneapolis,Datasets|Web services,Vector data,Minneapolis|FireDepartment|Fire|MFD|StationAreas,2018-05-11,Continually updated resource,,Minnesota--Minneapolis|Minnesota,"-93.33,44.89,-93.19,45.05",Shapefile,https://opendata.minneapolismn.gov/maps/cityoflakes::fire-stations-areas,https://opendata.minneapolismn.gov/api/download/v1/items/0180b00a373f49cdb1ac85ec47a70e86/shapefile,,https://services.arcgis.com/afSMGVsC7QlRK1kZ/arcgis/rest/services/MFD_FireStationsAreas/FeatureServer/0,,0180b00a373f49cdb1ac85ec47a70e86_0,https://hub.arcgis.com/datasets/0180b00a373f49cdb1ac85ec47a70e86,Open Data Minneapolis,05c-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,05c-01,http://creativecommons.org/publicdomain/zero/1.0,ArcGIS Hub,2024-05-18,Public
Planning Secondary Zoning [Minnesota--Minneapolis],Planning Secondary Zoning,,eng,"This dataset was automatically cataloged from the provider's ArcGIS Hub. In some cases, information shown here may be incorrect or out-of-date. Click the 'Visit Source' button to search for items on the original provider's website.",MapIT Minneapolis,Minnesota--Minneapolis,Datasets|Web services,Vector data,Minneapolis|Zoning|Planning|PublicSafety,2018-04-12,Continually updated resource,,Minnesota--Minneapolis|Minnesota,"-93.33,44.89,-93.19,45.05",Shapefile,https://opendata.minneapolismn.gov/maps/cityoflakes::planning-secondary-zoning,https://opendata.minneapolismn.gov/api/download/v1/items/a31f298136c04b06886e7c9167b80147/shapefile,,https://services.arcgis.com/afSMGVsC7QlRK1kZ/arcgis/rest/services/Planning_Secondary_Zoning/FeatureServer/0,,a31f298136c04b06886e7c9167b80147_0,https://hub.arcgis.com/datasets/a31f298136c04b06886e7c9167b80147,Open Data Minneapolis,05c-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,05c-01,http://creativecommons.org/publicdomain/zero/1.0,ArcGIS Hub,2024-05-18,Public
