ID,Resource Class,Date Range,Bounding Box,Format
aa4175e8-3289-4e51-9393-e621262e2276,Datasets|Web services,,"-179.149,18.910,179.778,71.365",ArcGIS Web Feature Service
8fb741f1-ba12-4440-bbf1-ce3586d3a675,Datasets,2010-2010,"-73.452,40.747,-72.135,41.157",Shapefile
c0fe47f1-3495-4ea3-87f1-1e1fe1b85fe6,Datasets,2021-2021,"-73.633,42.941,-73.241,43.807",Shapefile
a8701303-dd51-46e9-967a-67553008d749,Datasets,2021-2021,"-73.772,42.466,-73.275,42.958",Shapefile
ff6d035f-cccf-471d-8719-bc11b243b4df,Datasets,2009-2009,"-73.918,41.978,-73.367,42.508",
6f905a8b-7555-4875-9dd1-6c2021db1f1e,Datasets,2018-2018,"-73.936,41.090,-73.505,41.366",Shapefile
da58f59d-0659-4ece-b2f4-22def78cd4e9,Datasets,2020-2020,"-73.953,41.327,-73.536,41.522",Shapefile
8cb93bba-94e1-4d24-890a-839a55a348d0,Datasets,2017-2017,"-73.980,41.461,-73.488,42.079",
ec0761fe-043b-4030-9828-49aaade3f396,Datasets,2017-2017,"-73.351,45.010,-73.351,45.010",
dadc4768-fb3e-472c-b638-22c779a67c0f,Datasets,2021-2021,"-74.102,42.787,-73.578,43.294",Shapefile
3f817f20-603c-4dd7-8d9c-3086441e4ad8,Datasets,2018-2018,"-74.109,43.782,-73.349,44.523",
a51596da-1f45-4b6f-aaf7-b65e48fd1cce,Datasets,2020-2020,"-74.254,42.408,-73.709,42.804",Shapefile
d3e67033-5ef3-402a-ac48-f74e3845a7a5,Datasets,2021-2021,"-74.306,42.711,-73.832,42.953",Shapefile
ccd529d0-32de-4ffd-8a4b-ef517ea28b28,Datasets,2021-2009,"-74.514,42.151,-73.784,42.456",Shapefile
7d528ab9-e76b-4693-8826-a91ed315706f,Datasets,2018-2018,"-74.617,41.583,-73.934,42.175",Shapefile
3c51ad6e-d531-4317-ae86-470f40569fee,Datasets,2021-2021,"-74.642,44.351,-74.006,44.999",Shapefile
278b2b98-080d-4f82-9edc-91bdd67873b1,Datasets,2013-2013,"-74.668,42.366,-74.168,42.830",Shapefile
0aeb9f3b-2e1a-4540-b027-cdccf38d9600,Datasets,2021-2021,"-74.754,41.207,-73.972,41.629",Shapefile
88a8e4e4-87ca-4762-831a-a6b0c6eda7b7,Datasets,2018-2018,"-74.762,42.983,-74.762,42.983",Shapefile
94a4e9e3-5fb5-44c5-9cf5-05f83a3d372f,Datasets,2020-2020,"-74.763,42.773,-74.985,43.044",Shapefile
df127a94-8076-4218-9206-8f07da7c154b,,2016-2016,"-75.098,41.503,-74.405,41.995",Shapefile
599f6bfc-89f4-4ea7-89ae-9c0c01f8f3c7,Datasets,2020-2020,"-75.217,42.825,-74.749,43.380",Shapefile
7bd1a586-2620-4986-8a6a-b77e65658cc3,Datasets,1993-1993,"-75.320,43.052,-73.293,44.878",Shapefile
2caa159a-78a7-4721-bdec-9a2acf52bae4,Datasets,2019-2019,"-75.404,42.315,-74.646,42.904",Shapefile
dcc5fa8c-b941-482d-99db-de5357e878d7,,2019-2019,"-74.446,41.864,-75.423,42.518",
