filename,spatial reference,type,format,west,east,north,south,dcat_bbox
Ferry_Terminals.shp,EPSG:4326,Point data,Shapefile,-122.509086910906,-122.25672933205898,38.10095159888365,37.73743470395203,"ENVELOPE(-122.509086910906,-122.25672933205898,38.10095159888365,37.73743470395203)"
Salt_Marshes_WGS.tif,EPSG:4326,Raster data,GeoTIFF,-122.62462598065711,-122.00512741054615,37.359325812865066,38.199993495312505,"ENVELOPE(-122.62462598065711,-122.00512741054615,37.359325812865066,38.199993495312505)"
Santa_Clara.shp,EPSG:26910,Line data,Shapefile,571591.0302049129,630617.0102105697,4147037.7502584886,4093199.7698058556,"ENVELOPE(571591.0302049129,630617.0102105697,4147037.7502584886,4093199.7698058556)"
sfzipcodes.shp,EPSG:2227,Polygon data,Shapefile,5979385.4999795845,6024664.500079584,2123808.7499904726,2085840.5000904724,"ENVELOPE(5979385.4999795845,6024664.500079584,2123808.7499904726,2085840.5000904724)"
Ferry_Routes.shp,EPSG:4326,Line data,Shapefile,-122.50886899964193,-122.24463599973878,38.100141999995564,37.73732091987584,"ENVELOPE(-122.50886899964193,-122.24463599973878,38.100141999995564,37.73732091987584)"
Marin.shp,EPSG:26910,Line data,Shapefile,521049.62987805967,549070.9299337061,4219993.090269776,4186583.0914711673,"ENVELOPE(521049.62987805967,549070.9299337061,4219993.090269776,4186583.0914711673)"
sfbayhighways.geojson,EPSG:4326,Line data,GeoJSON,-123.51851249,-121.21430167,38.85254315,36.91728904,"ENVELOPE(-123.51851249,-121.21430167,38.85254315,36.91728904)"
Limited_Way_Plan_Civic_Center_WGS.tif,EPSG:4326,Raster data,GeoTIFF,-122.42499471460982,-122.41136838487465,37.77009301209546,37.7822172586231,"ENVELOPE(-122.42499471460982,-122.41136838487465,37.77009301209546,37.7822172586231)"
BC47_WGS.tif,EPSG:4326,Raster data,GeoTIFF,-122.52101120945063,-122.12544816338922,37.68089226056472,37.90980905445184,"ENVELOPE(-122.52101120945063,-122.12544816338922,37.68089226056472,37.90980905445184)"
Bus_Stops.shp,EPSG:26910,Point data,Shapefile,495289.08889999986,652884.4999000002,4295239.7115,4092089.6624999996,"ENVELOPE(495289.08889999986,652884.4999000002,4295239.7115,4092089.6624999996)"
